Id,PredictedRevenue
2343,324278
6,413042
2603,116104
133,25380
2336,1111825
917,15639188
2765,1378443
122,350858560
2074,39824404
975,76253240
2907,50297464
264,5081616
937,1217822
724,7962381
2812,17328544
478,742684
2341,51098496
928,286877952
1764,1599283
523,5821847
448,100783184
216,36783952
531,11042312
1304,7950248
1347,41649
2412,132796008
994,35347264
1633,1656940
2584,12899876
1862,572410624
2502,297577
1231,1600372
806,12837483
466,10667400
786,843909
2371,201896592
2866,6141653
916,3636096
1043,389070144
2959,2080419
486,26134424
909,1881037
166,724895
2747,77198312
2719,1503726
105,271523
1447,4041673
2061,56351976
2267,134786944
1262,3362685
1486,9521265
2499,5541647
737,25077396
2240,37189452
1673,2537271
1878,37545956
2718,7945867
1998,10853320
1660,9736371
2596,30362524
2490,28272768
1256,39120
1703,558718
2864,24910068
159,33905260
2310,24809830
1894,1696374
2213,17945678
93,5764731
407,62503980
276,223259
2922,18121
1827,8262639
832,9588806
1102,72816
2985,241320784
1372,2618404
2430,12820330
2224,22277300
2729,2390194
1094,142003776
420,673105
2616,10695617
2044,27349542
2353,12250967
690,310966208
2328,42810672
880,13609998
308,317643072
2969,39366140
1125,690382592
2311,1151395
46,1124512
2134,18287936
582,7043408
524,27329308
154,7538084
985,50238784
1502,31447924
518,47628944
2138,14899895
711,1724094
542,24217090
2983,55473
56,4311877
1629,13830971
2032,1408381
1993,1100223
1888,3092366
1637,210862
1971,2072798
754,34331960
272,86564272
2557,135358
906,37470124
2017,110531288
1096,311273600
2322,6983906
1647,60335084
688,6827851
507,16903126
1380,8590007
1471,2799758
615,35493392
315,684132544
2249,60212076
2283,46977092
693,61095104
1246,5066649
2379,10212703
457,11620196
2258,13087234
886,14594658
1088,35308316
2532,31866784
397,1117565
289,34915604
2887,19145
1220,3051702
1038,38861604
666,1012132
1666,54588320
2274,13151243
1713,46594712
1983,128807552
1732,4510752
483,44113052
268,4252969
2591,70719
115,743747200
1897,58287348
2950,2741720
1634,65229820
1953,224671
594,8189719
2552,38913968
2625,24397812
1357,89502
1559,28361508
2458,670572
1619,277629
1831,121867208
1797,155402400
500,153693008
300,5889558
1276,14754984
2716,67890016
2201,247989152
2976,89115072
1787,2303005
1541,1269468
2060,29276202
149,25436428
2630,6868637
1932,2904646
2570,25475418
1126,111577664
282,112306808
1516,132631976
741,7139229
2876,1302795
887,35627
189,336748736
1623,166892
2555,730846
89,15927003
188,251216
2282,12679600
955,944228
2425,50437144
921,4975066
1223,620426880
2565,49822632
1421,724035
1191,373644
64,23118512
25,4214998
2370,113229104
1577,27091092
1665,72931136
1465,10268507
742,142779
811,97992928
2786,227136
2315,351199
1602,104038328
2145,939910
1881,168029408
1936,61042804
2174,50692
358,249299984
779,107371984
2593,187397
2242,101201376
443,257960
2188,9513550
954,8278919
552,86822880
2832,9777704
1100,4195795
499,12131
1023,34405
1386,7993285
1051,72609400
729,13468638
2063,199174816
652,12471954
901,14331604
50,79337872
2386,18616612
1892,577351
946,17212988
48,191447776
2680,64814848
1922,5178873
1053,25099600
628,26740052
1903,141758592
121,183184576
1373,186758
1143,35404008
1814,2858207
2580,43602696
468,25904696
2702,4194367
487,58254228
1063,1282924
718,5018430
1858,407623
2824,141233
1760,565971712
1298,3376635
1487,47093988
2870,30443014
2247,1160480
267,75679752
107,35831112
1381,536957
2013,102734496
1910,5254958
2006,544067
222,8430299
2330,6722611
1353,49009620
577,48437256
2131,59416900
1172,74182008
1164,7687214
1846,15005990
1976,951419
852,7075158
1033,13844854
81,6490418
1124,63163848
1034,12689180
1028,5728654
2949,45083000
987,13293379
645,3934400
873,345869
2146,21251636
1901,207821728
2783,70120600
2770,16738189
1590,89287
1522,126947552
2022,1162998
941,7077121
1564,52476652
1592,36066020
1730,11926681
2093,996337
2753,22508536
2025,71259360
864,80392
979,43065212
132,1235933
2161,2696083
1329,154672
338,242569
1162,901688
2415,12255104
1159,315341312
1562,8466168
2638,224629
1957,339201
2483,86068880
2935,64971424
1990,2810204
895,49602652
2065,65963616
561,228266
261,703790
1148,990561
1173,453244
2234,107055224
1807,14938510
1342,28545974
2447,11935056
136,213740
111,66036376
2743,51893776
2512,11569948
658,20906880
831,4738774
2318,69156176
1768,1170261
196,150329
2617,24499002
498,35329672
587,833886
2166,31023974
1408,130106840
445,2962599
482,8221420
872,2728301
2395,97863296
1398,51963012
2016,47739448
2363,59542
2875,50764
2816,61534712
2123,241408
1536,2271837
1588,42391480
647,40249752
2316,3440660
930,13267896
2452,586260
2216,40051940
470,982988
33,168903408
1477,30197060
226,5387292
1017,67638240
2299,724185
366,231127
2451,12495122
2883,5603490
252,58877648
734,41264964
1154,2987783
2938,25600894
174,30061094
1414,462481
1016,5148249
162,2004539
1122,14062584
290,50214736
347,78694336
2790,1557805
1188,555437
1889,4478331
2485,4904306
2454,14045696
1573,25803408
925,176759
805,80372968
551,16402832
126,17301496
671,8561113
1907,191288
1560,29568522
2382,718676
1689,107251016
1119,82662776
18,1131598
682,86397344
720,328634
2271,6970591
1851,6913543
1780,60613412
2096,64810
2666,19188122
2208,99246424
384,3880469
1457,1752637
2000,44062768
430,125218256
911,118777
727,770259
940,568636
1240,1029421
1710,79562448
1644,290241312
1493,69403680
2457,2911152
59,688325
660,6081162
1332,528709
1206,43062088
3,21267206
2592,68608320
2313,1574955
2619,70448240
1692,16436812
2615,46925600
2246,86518216
2715,7398060
332,67436768
1178,154590880
2785,32311248
2772,9427370
753,35939
732,10459338
1845,3308585
435,4971822
355,29135488
1069,1415900
69,4986257
1390,71156680
1315,9548126
845,4162155
728,61502796
325,13814519
1625,387259936
1495,6886944
1491,48914
140,113391840
1144,19519906
1737,1849865
2393,5559380
620,952515
419,19073110
179,72588080
2810,71329520
2924,18172010
2833,12438054
2468,31618132
890,91388
1444,9343289
1750,1071627
687,151897216
1722,50134064
2117,49401640
80,228729
961,1922411
1945,13247010
1575,58622
2475,4411500
567,11815801
404,98120
2097,70949
1389,14811
1652,2688596
436,5664165
1,39211248
387,57781
1183,165069776
2459,260787
1121,46077260
1020,1668233
2955,101505848
223,1052782
422,32361760
778,247728672
212,115359104
787,65060584
1434,2886897
2762,105962
1261,6739365
2720,166962688
2839,7245179
2231,995235
356,20350
2115,15665998
2602,38416324
260,2186
1511,116620120
1112,31197540
1085,33563
869,130305768
2332,5652315
1302,371520
2293,281637
1733,8021035
798,1068306
1404,25491652
410,13738684
1356,119740304
303,1607121
1225,204720368
1638,34731420
2124,7724237
148,41660696
1131,26744848
1045,2184279
2478,9710741
1441,4744481
374,19437426
1366,180351
2904,19472494
2741,169480096
1879,1273432
1691,863911
1758,71972
2112,336724352
1651,11685317
492,17230232
2672,4644136
1195,1478516
725,151043200
905,262983504
888,35973204
2030,50274252
363,1905969
1924,50450
1518,13423526
2523,39549400
2099,1605726
2897,882848
662,2383357
1809,321407
2548,163339072
176,28674814
2345,23597338
2103,13455080
413,33252328
2854,5971202
1363,39827216
1417,7565964
2245,24222172
339,84775088
972,115201008
1877,2268951
1832,4494958
2632,157608048
2376,77772920
75,1297826
1059,16152935
2165,160104064
1761,188115
2411,18429682
1321,267012304
375,3912758
2397,152003280
1966,24400232
428,260703
1612,119648296
1774,248425
943,1060900
49,920970
1742,4110170
1127,777309952
659,5458427
1675,22189306
1940,9210636
1490,3561458
1854,10914894
2629,8168635
1084,22110388
1111,124034
1981,2714517
2777,43447372
683,25776648
232,715229
2200,44151520
1565,22605124
1239,3161651
2491,4803352
2014,82947
1160,51131840
1303,14826753
966,97640496
2530,5269627
2651,18937826
458,18217
637,1379615
2926,19968328
1954,17049806
2941,10799466
931,84203648
2778,40248676
1860,11295142
1557,11790519
624,179711712
488,2045986
656,30344578
51,438713
558,4469115
219,167229
326,144014320
1087,93368
2766,2405302
1080,1428804
1349,7525873
534,86829176
1199,185984
738,2050002
1211,60252284
309,24606712
2279,104730984
821,1486622
92,1088321
1677,833909
1753,70158600
1376,124646368
1961,50452056
350,674971
1167,7274902
120,22749330
1822,483813
1364,2853098
1684,106183
1037,4811301
292,17262568
1870,28446402
782,8592981
271,67675272
389,4411559
438,81660152
520,28649776
1004,6159426
1378,102120272
1503,29379968
692,16215321
2290,10729290
857,15804897
1411,27078590
1749,768462
2667,40609636
1604,55839160
2825,23103306
2906,2869659
2305,46193944
2324,353706
983,1225901
1439,21834212
2223,28517894
63,11290210
2349,3416099
1654,25174346
571,47592168
240,26137016
731,2750520
328,38989080
1461,58910112
2549,20521088
862,22578150
2178,25396774
1203,482460
2885,3303903
2398,114360336
2443,61526380
1192,26904838
296,894597
2693,62745024
2671,105241
1756,3862466
945,23403300
1097,4324726
740,124150704
1346,15263480
2463,34344076
874,42601008
2056,41836280
1686,70876968
613,12935528
2727,42738880
2968,17617922
362,1377414
1257,81465536
792,156191344
2229,20938128
953,2301012
1306,9621966
2424,736506
277,2894589
402,2597478
746,15600726
715,5856792
2661,32826838
2296,7219
2759,1145896
2681,470415
565,1430729
96,6571
2856,433344
810,192143552
447,25111572
1871,4084731
2429,17688630
2708,5406201
553,60206676
1778,671808
1035,2378232
1642,8133762
1659,160587
1989,11155909
822,7540845
2828,2472767
1235,50970204
2182,13264784
1656,98724392
1798,6416853
1524,26012780
2072,32158768
2520,790905
1653,3132437
2917,34782200
1534,1512935
2111,2636312
473,27998918
2437,3498370
53,435631
2085,19368702
8,54405
2153,8353509
2132,65155336
1909,111471736
2994,249106048
1767,339775
1139,4463782
2471,2319817
922,19691660
258,13382
621,66606372
127,4365884
1266,150204
1011,79238208
2736,3746584
1893,25943462
2699,1398634
847,64335852
2018,9883003
1344,35130840
570,17554358
2545,101768912
608,52009
747,489607
698,11527128
1106,841731
291,40699352
1790,15477637
1741,10371373
1886,6326762
957,333661
1555,994238
229,38222640
379,38242112
896,11292730
1512,90838568
605,11675782
601,81429648
1362,1188390
2446,49104592
1410,1920287
2462,2093161
2272,6973390
477,5910360
1268,1153976
125,49866080
2422,2325042
1448,7360839
2307,7670276
175,21318744
566,1463243
192,55290288
367,10281834
763,7120870
1515,29039232
1008,22944
1620,85972240
147,28766188
1930,24156426
2789,546741
1847,540311
2971,54687216
1387,59792408
1050,172817840
1668,14569265
893,135415
1153,28459588
703,171351008
866,25925704
1274,26596662
1093,57995
2095,341653
1821,186480
774,56536
2936,129968192
2204,639938
439,25471628
1671,28243286
491,1405044
2526,52513896
2122,94467248
1157,428854
2701,43644880
134,149928960
751,59316576
1941,24314424
1155,36340848
719,4018628
1900,411034
1748,6076443
182,5228369
1474,63548244
1039,291718144
342,79019824
1664,53605440
2389,35496576
1335,157611952
1496,19870648
462,56992536
2023,60235736
1801,9
44,4622956
1925,174796272
735,516176960
1896,6964079
1136,39733736
981,110871648
2020,37713548
1317,3227651
2609,17547596
1521,13033924
2080,83955
1081,43896844
1973,164327152
2910,42132488
400,10368327
484,7585811
2695,27873966
2653,12808134
2782,19868
675,321503232
2882,87712720
1024,10699535
2982,67913
2723,4783777
2381,15639069
17,24583492
1825,7404865
1791,4324639
1403,1075564
1200,199302
170,3758913
2775,14988884
2855,3744376
1670,1323742
1327,7414242
1865,4200179
2827,2241137
71,27646764
2576,54425
2524,4385011
1322,303179232
2148,43294828
2238,544118
1776,4744607
1554,168103
554,13328415
2431,13675729
2669,3931898
1384,103768608
2891,197492192
538,106010200
1795,5514007
1866,53676340
2362,14392499
2176,35094540
440,508303
2943,9819269
644,4437775
894,35138008
522,151672
2418,22317576
627,11707403
1323,2168540
248,15129887
631,51696492
2427,255835
1307,34126696
1283,27490226
305,10046568
139,2386277
2202,2544407
2627,59463608
617,19380
